0.0	-4.297	-0.094
0.0005	-4.297	-0.175
0.001	-4.297	-0.198
0.0015	-4.297	-0.233
0.002	-4.297	-0.228
0.0025	-4.297	-0.209
0.003	-4.297	-0.186
0.0035	-4.297	-0.179
0.004	-4.297	-0.164
0.0045	-4.297	-0.144
0.005	-4.297	-0.111
0.0055	-4.297	-0.069
0.006	-4.297	-0.029
0.0065	-4.297	0.004
0.007	-4.297	0.031
0.0075	-4.297	0.084
0.008	-4.297	0.114
0.0085	-4.297	0.126
0.009	-4.297	0.147
0.0095	-4.297	0.184
0.01	-4.297	0.160
0.0105	-4.297	0.150
0.011	-4.297	0.128
0.0115	-4.297	0.116
0.012	-4.297	0.100
0.0125	-4.297	0.099
0.013	-4.297	0.067
0.0135	-4.297	0.004
0.014	-4.297	-0.035
0.0145	-4.297	-0.018
0.015	-4.297	-0.047
0.0155	-4.297	-0.080
0.016	-4.297	-0.109
0.0165	-4.297	-0.137
0.017	-4.297	-0.156
0.0175	-4.297	-0.159
0.018	-4.297	-0.185
0.0185	-4.297	-0.197
0.019	-4.297	-0.186
0.0195	-4.297	-0.173
0.02	-4.297	-0.171
0.0205	-4.297	-0.167
0.021	-4.297	-0.145
0.0215	-4.297	-0.109
0.022	-4.297	-0.078
0.0225	-4.297	-0.039
0.023	-4.297	-0.022
0.0235	-4.297	0.005
0.024	-4.297	0.050
0.0245	-4.297	0.075
0.025	-4.297	0.100
0.0255	-4.297	0.118
0.026	-4.297	0.142
0.0265	-4.297	0.144
0.027	-4.297	0.140
0.0275	-4.297	0.141
0.028	-4.297	0.146
0.0285	-4.297	0.138
0.029	-4.297	0.132
0.0295	-4.297	0.090
0.03	-4.297	0.044
0.0305	-4.297	0.008
0.031	-4.297	-0.017
0.0315	-4.297	-0.027
0.032	-4.297	-0.052
0.0325	-4.297	-0.092
0.033	-4.297	-0.123
0.0335	-4.297	-0.128
0.034	-4.297	-0.170
0.0345	-4.297	-0.196
0.035	-4.297	-0.194
0.0355	-4.297	-0.180
0.036	-4.297	-0.176
0.0365	-4.297	-0.176
0.037	-4.297	-0.179
0.0375	-4.297	-0.174
0.038	-4.297	-0.163
0.0385	-4.297	-0.116
